MTU;Biomass;Fossil Brown coal/Lignite;Fossil Coal-derived gas;Fossil Gas;Fossil Hard coal;Fossil Oil;Fossil Oil shale;Fossil Peat;Geothermal;Hydro Pumped Storage;Hydro Pumped Storage.1;Hydro Run-of-river and poundage;Hydro Water Reservoir;Marine;Nuclear;Other;Other renewable;Solar;Waste;Wind Offshore;Wind Onshore;start;end;start_datetime;start_unix_timestamp;end_datetime;end_unix_timestamp
03:45 - 04:00;4437.0;7124.0;;4231.0;1307.0;373.0;;;20.0;299.0;3504.0;1753.0;118.0;;;143.0;55.0;0.0;467.0;3279.0;6210.0;03:45;04:00;2024-04-08 03:45:00+02:00;1712540700.0;2024-04-08 04:00:00+02:00;1712541600.0
04:00 - 04:15;4437.0;7577.0;;4326.0;1310.0;373.0;;;20.0;123.0;2840.0;1758.0;52.0;;;143.0;55.0;0.0;465.0;3072.0;6046.0;04:00;04:15;2024-04-08 04:00:00+02:00;1712541600.0;2024-04-08 04:15:00+02:00;1712542500.0
04:15 - 04:30;4450.0;7457.0;;4312.0;1314.0;373.0;;;20.0;143.0;1667.0;1762.0;55.0;;;143.0;55.0;0.0;459.0;2884.0;5863.0;04:15;04:30;2024-04-08 04:15:00+02:00;1712542500.0;2024-04-08 04:30:00+02:00;1712543400.0
04:30 - 04:45;4459.0;7470.0;;4539.0;1327.0;373.0;;;20.0;379.0;1697.0;1761.0;191.0;;;143.0;55.0;0.0;449.0;2722.0;5595.0;04:30;04:45;2024-04-08 04:30:00+02:00;1712543400.0;2024-04-08 04:45:00+02:00;1712544300.0
04:45 - 05:00;4459.0;7558.0;;4762.0;1566.0;373.0;;;20.0;494.0;1503.0;1757.0;187.0;;;143.0;55.0;0.0;459.0;2702.0;5298.0;04:45;05:00;2024-04-08 04:45:00+02:00;1712544300.0;2024-04-08 05:00:00+02:00;1712545200.0
05:00 - 05:15;4469.0;7709.0;;5507.0;1754.0;373.0;;;20.0;140.0;629.0;1754.0;56.0;;;147.0;55.0;0.0;463.0;2718.0;5257.0;05:00;05:15;2024-04-08 05:00:00+02:00;1712545200.0;2024-04-08 05:15:00+02:00;1712546100.0
05:15 - 05:30;4465.0;7748.0;;5569.0;1768.0;373.0;;;20.0;403.0;144.0;1752.0;217.0;;;150.0;55.0;0.0;456.0;2775.0;5214.0;05:15;05:30;2024-04-08 05:15:00+02:00;1712546100.0;2024-04-08 05:30:00+02:00;1712547000.0
05:30 - 05:45;4471.0;7958.0;;5855.0;1893.0;373.0;;;20.0;1631.0;467.0;1753.0;293.0;;;151.0;55.0;0.0;462.0;2761.0;5292.0;05:30;05:45;2024-04-08 05:30:00+02:00;1712547000.0;2024-04-08 05:45:00+02:00;1712547900.0
05:45 - 06:00;4470.0;8055.0;;6245.0;2074.0;373.0;;;20.0;2050.0;89.0;1751.0;344.0;;;151.0;55.0;0.0;465.0;2682.0;5322.0;05:45;06:00;2024-04-08 05:45:00+02:00;1712547900.0;2024-04-08 06:00:00+02:00;1712548800.0
06:00 - 06:15;4483.0;8111.0;;6807.0;2205.0;373.0;;;20.0;2427.0;234.0;1749.0;291.0;;;164.0;55.0;0.0;467.0;2507.0;5422.0;06:00;06:15;2024-04-08 06:00:00+02:00;1712548800.0;2024-04-08 06:15:00+02:00;1712549700.0
06:15 - 06:30;4490.0;8112.0;;6926.0;2593.0;373.0;;;20.0;3707.0;61.0;1756.0;346.0;;;173.0;55.0;2.0;475.0;2449.0;5681.0;06:15;06:30;2024-04-08 06:15:00+02:00;1712549700.0;2024-04-08 06:30:00+02:00;1712550600.0
06:30 - 06:45;4504.0;8164.0;;7039.0;2829.0;373.0;;;20.0;4353.0;10.0;1764.0;386.0;;;173.0;55.0;37.0;480.0;2413.0;5762.0;06:30;06:45;2024-04-08 06:30:00+02:00;1712550600.0;2024-04-08 06:45:00+02:00;1712551500.0
06:45 - 07:00;4508.0;8262.0;;7079.0;2968.0;373.0;;;20.0;6238.0;3.0;1767.0;306.0;;;173.0;55.0;201.0;486.0;2494.0;5841.0;06:45;07:00;2024-04-08 06:45:00+02:00;1712551500.0;2024-04-08 07:00:00+02:00;1712552400.0
07:00 - 07:15;4513.0;8338.0;;7134.0;3025.0;373.0;;;20.0;7418.0;3.0;1768.0;260.0;;;175.0;55.0;684.0;489.0;2508.0;5690.0;07:00;07:15;2024-04-08 07:00:00+02:00;1712552400.0;2024-04-08 07:15:00+02:00;1712553300.0
07:15 - 07:30;4502.0;8388.0;;7054.0;3011.0;373.0;;;20.0;7433.0;4.0;1770.0;417.0;;;177.0;55.0;1440.0;483.0;2379.0;5468.0;07:15;07:30;2024-04-08 07:15:00+02:00;1712553300.0;2024-04-08 07:30:00+02:00;1712554200.0
07:30 - 07:45;4506.0;8416.0;;7005.0;3034.0;373.0;;;20.0;7528.0;4.0;1769.0;273.0;;;177.0;55.0;2402.0;489.0;2194.0;5153.0;07:30;07:45;2024-04-08 07:30:00+02:00;1712554200.0;2024-04-08 07:45:00+02:00;1712555100.0
07:45 - 08:00;4504.0;8411.0;;6986.0;3068.0;373.0;;;20.0;7284.0;4.0;1772.0;180.0;;;177.0;55.0;3599.0;488.0;2203.0;5284.0;07:45;08:00;2024-04-08 07:45:00+02:00;1712555100.0;2024-04-08 08:00:00+02:00;1712556000.0
08:00 - 08:15;4515.0;8400.0;;6943.0;3097.0;373.0;;;20.0;6203.0;5.0;1776.0;262.0;;;177.0;55.0;5008.0;489.0;2128.0;5159.0;08:00;08:15;2024-04-08 08:00:00+02:00;1712556000.0;2024-04-08 08:15:00+02:00;1712556900.0
08:15 - 08:30;4511.0;8594.0;;6934.0;2993.0;373.0;;;20.0;6152.0;7.0;1776.0;112.0;;;177.0;55.0;6677.0;487.0;2086.0;4893.0;08:15;08:30;2024-04-08 08:15:00+02:00;1712556900.0;2024-04-08 08:30:00+02:00;1712557800.0
08:30 - 08:45;4508.0;8776.0;;6886.0;2763.0;373.0;;;20.0;3529.0;12.0;1777.0;87.0;;;177.0;55.0;8459.0;487.0;2103.0;4675.0;08:30;08:45;2024-04-08 08:30:00+02:00;1712557800.0;2024-04-08 08:45:00+02:00;1712558700.0
08:45 - 09:00;4495.0;8789.0;;6895.0;2681.0;373.0;;;20.0;1463.0;238.0;1780.0;69.0;;;174.0;55.0;10440.0;490.0;2087.0;4444.0;08:45;09:00;2024-04-08 08:45:00+02:00;1712558700.0;2024-04-08 09:00:00+02:00;1712559600.0
09:00 - 09:15;4490.0;8811.0;;6494.0;2539.0;373.0;;;20.0;4970.0;75.0;1778.0;293.0;;;160.0;55.0;12567.0;492.0;2060.0;4022.0;09:00;09:15;2024-04-08 09:00:00+02:00;1712559600.0;2024-04-08 09:15:00+02:00;1712560500.0
09:15 - 09:30;4450.0;8800.0;;5991.0;2431.0;373.0;;;20.0;2870.0;187.0;1783.0;270.0;;;155.0;55.0;14722.0;483.0;2113.0;3409.0;09:15;09:30;2024-04-08 09:15:00+02:00;1712560500.0;2024-04-08 09:30:00+02:00;1712561400.0
09:30 - 09:45;4443.0;8788.0;;5598.0;2353.0;373.0;;;20.0;1135.0;317.0;1807.0;92.0;;;155.0;55.0;17005.0;487.0;2128.0;2777.0;09:30;09:45;2024-04-08 09:30:00+02:00;1712561400.0;2024-04-08 09:45:00+02:00;1712562300.0
09:45 - 10:00;4437.0;8858.0;;5304.0;2281.0;373.0;;;20.0;471.0;900.0;1805.0;52.0;;;155.0;55.0;19501.0;492.0;2056.0;2443.0;09:45;10:00;2024-04-08 09:45:00+02:00;1712562300.0;2024-04-08 10:00:00+02:00;1712563200.0
10:00 - 10:15;4419.0;8959.0;;4994.0;2167.0;373.0;;;20.0;1079.0;584.0;1814.0;223.0;;;155.0;55.0;21854.0;487.0;1884.0;2155.0;10:00;10:15;2024-04-08 10:00:00+02:00;1712563200.0;2024-04-08 10:15:00+02:00;1712564100.0
10:15 - 10:30;4402.0;8839.0;;4749.0;2046.0;373.0;;;20.0;437.0;929.0;1820.0;127.0;;;155.0;55.0;23938.0;486.0;1711.0;1914.0;10:15;10:30;2024-04-08 10:15:00+02:00;1712564100.0;2024-04-08 10:30:00+02:00;1712565000.0
10:30 - 10:45;4390.0;8406.0;;4468.0;2005.0;373.0;;;20.0;86.0;1798.0;1823.0;43.0;;;155.0;55.0;25899.0;487.0;1447.0;1783.0;10:30;10:45;2024-04-08 10:30:00+02:00;1712565000.0;2024-04-08 10:45:00+02:00;1712565900.0
10:45 - 11:00;4383.0;7700.0;;4368.0;2026.0;373.0;;;20.0;160.0;3215.0;1832.0;47.0;;;155.0;55.0;27945.0;491.0;1189.0;1794.0;10:45;11:00;2024-04-08 10:45:00+02:00;1712565900.0;2024-04-08 11:00:00+02:00;1712566800.0
11:00 - 11:15;4372.0;7339.0;;3795.0;2060.0;373.0;;;20.0;260.0;2188.0;1840.0;264.0;;;152.0;55.0;29685.0;475.0;935.0;1789.0;11:00;11:15;2024-04-08 11:00:00+02:00;1712566800.0;2024-04-08 11:15:00+02:00;1712567700.0
11:15 - 11:30;4346.0;7086.0;;3678.0;2158.0;373.0;;;20.0;237.0;3799.0;1848.0;233.0;;;147.0;55.0;31044.0;472.0;753.0;1832.0;11:15;11:30;2024-04-08 11:15:00+02:00;1712567700.0;2024-04-08 11:30:00+02:00;1712568600.0
11:30 - 11:45;4340.0;6802.0;;3666.0;2129.0;373.0;;;20.0;169.0;4987.0;1860.0;65.0;;;147.0;55.0;32263.0;482.0;660.0;1885.0;11:30;11:45;2024-04-08 11:30:00+02:00;1712568600.0;2024-04-08 11:45:00+02:00;1712569500.0
11:45 - 12:00;4324.0;6332.0;;3665.0;2149.0;373.0;;;20.0;158.0;5653.0;1862.0;59.0;;;147.0;55.0;33101.0;480.0;542.0;1761.0;11:45;12:00;2024-04-08 11:45:00+02:00;1712569500.0;2024-04-08 12:00:00+02:00;1712570400.0
12:00 - 12:15;4321.0;6022.0;;3662.0;2115.0;373.0;;;20.0;558.0;5170.0;1871.0;161.0;;;149.0;55.0;33723.0;479.0;506.0;1752.0;12:00;12:15;2024-04-08 12:00:00+02:00;1712570400.0;2024-04-08 12:15:00+02:00;1712571300.0
12:15 - 12:30;4309.0;5975.0;;3700.0;2119.0;373.0;;;20.0;326.0;5485.0;1869.0;30.0;;;151.0;55.0;34216.0;471.0;434.0;1702.0;12:15;12:30;2024-04-08 12:15:00+02:00;1712571300.0;2024-04-08 12:30:00+02:00;1712572200.0
12:30 - 12:45;4313.0;5715.0;;3715.0;2103.0;373.0;;;20.0;170.0;5580.0;1857.0;27.0;;;151.0;55.0;34341.0;471.0;301.0;1733.0;12:30;12:45;2024-04-08 12:30:00+02:00;1712572200.0;2024-04-08 12:45:00+02:00;1712573100.0
12:45 - 13:00;4304.0;5550.0;;3729.0;2096.0;373.0;;;20.0;223.0;5221.0;1858.0;42.0;;;151.0;55.0;34298.0;453.0;248.0;1765.0;12:45;13:00;2024-04-08 12:45:00+02:00;1712573100.0;2024-04-08 13:00:00+02:00;1712574000.0
13:00 - 13:15;4294.0;5688.0;;3740.0;2117.0;373.0;;;20.0;207.0;4982.0;1844.0;76.0;;;150.0;55.0;33926.0;438.0;244.0;1893.0;13:00;13:15;2024-04-08 13:00:00+02:00;1712574000.0;2024-04-08 13:15:00+02:00;1712574900.0
13:15 - 13:30;4286.0;6029.0;;3755.0;2086.0;373.0;;;20.0;96.0;5340.0;1804.0;42.0;;;145.0;55.0;33389.0;462.0;212.0;1994.0;13:15;13:30;2024-04-08 13:15:00+02:00;1712574900.0;2024-04-08 13:30:00+02:00;1712575800.0
13:30 - 13:45;4299.0;6120.0;;3778.0;2107.0;373.0;;;20.0;93.0;4980.0;1800.0;62.0;;;145.0;55.0;32796.0;469.0;157.0;2258.0;13:30;13:45;2024-04-08 13:30:00+02:00;1712575800.0;2024-04-08 13:45:00+02:00;1712576700.0
13:45 - 14:00;4299.0;5993.0;;3744.0;2087.0;373.0;;;20.0;32.0;5580.0;1827.0;27.0;;;145.0;55.0;32640.0;469.0;90.0;2502.0;13:45;14:00;2024-04-08 13:45:00+02:00;1712576700.0;2024-04-08 14:00:00+02:00;1712577600.0
14:00 - 14:15;4299.0;5700.0;;3727.0;1962.0;373.0;;;20.0;23.0;5642.0;1840.0;80.0;;;145.0;55.0;32004.0;471.0;87.0;2920.0;14:00;14:15;2024-04-08 14:00:00+02:00;1712577600.0;2024-04-08 14:15:00+02:00;1712578500.0
14:15 - 14:30;4309.0;5985.0;;3738.0;1882.0;373.0;;;20.0;3.0;5353.0;1853.0;101.0;;;145.0;55.0;31461.0;467.0;92.0;3172.0;14:15;14:30;2024-04-08 14:15:00+02:00;1712578500.0;2024-04-08 14:30:00+02:00;1712579400.0
14:30 - 14:45;4309.0;5953.0;;3810.0;1859.0;373.0;;;20.0;33.0;4916.0;1853.0;131.0;;;145.0;55.0;30788.0;470.0;80.0;3461.0;14:30;14:45;2024-04-08 14:30:00+02:00;1712579400.0;2024-04-08 14:45:00+02:00;1712580300.0
14:45 - 15:00;4319.0;6019.0;;3914.0;1804.0;373.0;;;20.0;169.0;4744.0;1830.0;137.0;;;145.0;55.0;29861.0;472.0;62.0;3501.0;14:45;15:00;2024-04-08 14:45:00+02:00;1712580300.0;2024-04-08 15:00:00+02:00;1712581200.0
15:00 - 15:15;4323.0;6252.0;;3948.0;1790.0;373.0;;;20.0;164.0;5610.0;1843.0;54.0;;;145.0;55.0;28751.0;469.0;71.0;3626.0;15:00;15:15;2024-04-08 15:00:00+02:00;1712581200.0;2024-04-08 15:15:00+02:00;1712582100.0
15:15 - 15:30;4341.0;6670.0;;4015.0;1928.0;373.0;;;20.0;77.0;4918.0;1838.0;186.0;;;145.0;55.0;27259.0;464.0;73.0;3572.0;15:15;15:30;2024-04-08 15:15:00+02:00;1712582100.0;2024-04-08 15:30:00+02:00;1712583000.0
15:30 - 15:45;4367.0;6661.0;;4156.0;2102.0;373.0;;;20.0;215.0;3894.0;1829.0;252.0;;;145.0;55.0;25729.0;466.0;82.0;3329.0;15:30;15:45;2024-04-08 15:30:00+02:00;1712583000.0;2024-04-08 15:45:00+02:00;1712583900.0
15:45 - 16:00;4366.0;6715.0;;4311.0;2228.0;373.0;;;20.0;525.0;3630.0;1843.0;303.0;;;145.0;55.0;24214.0;464.0;118.0;3128.0;15:45;16:00;2024-04-08 15:45:00+02:00;1712583900.0;2024-04-08 16:00:00+02:00;1712584800.0
16:00 - 16:15;4376.0;6737.0;;4845.0;2312.0;373.0;;;20.0;161.0;3076.0;1844.0;103.0;;;147.0;55.0;22651.0;464.0;141.0;3083.0;16:00;16:15;2024-04-08 16:00:00+02:00;1712584800.0;2024-04-08 16:15:00+02:00;1712585700.0
16:15 - 16:30;4380.0;7034.0;;5195.0;2421.0;373.0;;;20.0;192.0;2849.0;1835.0;111.0;;;147.0;55.0;20600.0;472.0;157.0;3188.0;16:15;16:30;2024-04-08 16:15:00+02:00;1712585700.0;2024-04-08 16:30:00+02:00;1712586600.0
16:30 - 16:45;4386.0;7504.0;;5330.0;2646.0;373.0;;;20.0;281.0;1007.0;1826.0;92.0;;;147.0;55.0;18429.0;482.0;184.0;3134.0;16:30;16:45;2024-04-08 16:30:00+02:00;1712586600.0;2024-04-08 16:45:00+02:00;1712587500.0
16:45 - 17:00;4393.0;7640.0;;5633.0;2989.0;373.0;;;20.0;355.0;51.0;1814.0;143.0;;;149.0;55.0;16419.0;484.0;235.0;3164.0;16:45;17:00;2024-04-08 16:45:00+02:00;1712587500.0;2024-04-08 17:00:00+02:00;1712588400.0
17:00 - 17:15;4413.0;7613.0;;6233.0;3323.0;373.0;;;20.0;582.0;1346.0;1806.0;113.0;;;164.0;55.0;14514.0;476.0;314.0;3119.0;17:00;17:15;2024-04-08 17:00:00+02:00;1712588400.0;2024-04-08 17:15:00+02:00;1712589300.0
17:15 - 17:30;4418.0;7658.0;;6792.0;3540.0;373.0;;;20.0;1158.0;472.0;1795.0;166.0;;;171.0;55.0;12525.0;476.0;506.0;3108.0;17:15;17:30;2024-04-08 17:15:00+02:00;1712589300.0;2024-04-08 17:30:00+02:00;1712590200.0
17:30 - 17:45;4422.0;7861.0;;7231.0;3830.0;373.0;;;20.0;2550.0;176.0;1792.0;166.0;;;171.0;55.0;10753.0;476.0;679.0;3097.0;17:30;17:45;2024-04-08 17:30:00+02:00;1712590200.0;2024-04-08 17:45:00+02:00;1712591100.0
17:45 - 18:00;4441.0;7913.0;;7650.0;4068.0;373.0;;;20.0;4527.0;364.0;1788.0;204.0;;;172.0;55.0;9102.0;473.0;810.0;3051.0;17:45;18:00;2024-04-08 17:45:00+02:00;1712591100.0;2024-04-08 18:00:00+02:00;1712592000.0
18:00 - 18:15;4454.0;8029.0;;7804.0;4211.0;373.0;;;20.0;2732.0;378.0;1793.0;190.0;;;172.0;55.0;7392.0;477.0;954.0;3063.0;18:00;18:15;2024-04-08 18:00:00+02:00;1712592000.0;2024-04-08 18:15:00+02:00;1712592900.0
18:15 - 18:30;4456.0;8235.0;;8167.0;4316.0;373.0;;;20.0;4197.0;378.0;1788.0;249.0;;;172.0;55.0;5946.0;476.0;1075.0;3055.0;18:15;18:30;2024-04-08 18:15:00+02:00;1712592900.0;2024-04-08 18:30:00+02:00;1712593800.0
18:30 - 18:45;4470.0;8279.0;;8340.0;4451.0;373.0;;;20.0;5563.0;339.0;1783.0;298.0;;;172.0;55.0;4572.0;480.0;1238.0;3054.0;18:30;18:45;2024-04-08 18:30:00+02:00;1712593800.0;2024-04-08 18:45:00+02:00;1712594700.0
18:45 - 19:00;4468.0;8291.0;;8525.0;4546.0;373.0;;;20.0;6573.0;5.0;1778.0;291.0;;;172.0;55.0;3349.0;480.0;1333.0;3184.0;18:45;19:00;2024-04-08 18:45:00+02:00;1712594700.0;2024-04-08 19:00:00+02:00;1712595600.0
19:00 - 19:15;4473.0;8272.0;;8924.0;4625.0;373.0;;;20.0;7186.0;16.0;1770.0;282.0;;;172.0;58.0;2243.0;475.0;1445.0;3243.0;19:00;19:15;2024-04-08 19:00:00+02:00;1712595600.0;2024-04-08 19:15:00+02:00;1712596500.0
19:15 - 19:30;4457.0;8281.0;;9204.0;4646.0;373.0;;;20.0;7555.0;22.0;1768.0;192.0;;;172.0;58.0;1310.0;474.0;1650.0;3380.0;19:15;19:30;2024-04-08 19:15:00+02:00;1712596500.0;2024-04-08 19:30:00+02:00;1712597400.0
19:30 - 19:45;4459.0;8273.0;;9361.0;4701.0;373.0;;;20.0;7823.0;22.0;1769.0;187.0;;;172.0;58.0;583.0;467.0;1736.0;3680.0;19:30;19:45;2024-04-08 19:30:00+02:00;1712597400.0;2024-04-08 19:45:00+02:00;1712598300.0
19:45 - 20:00;4462.0;8250.0;;9469.0;4730.0;373.0;;;20.0;7660.0;21.0;1771.0;192.0;;;172.0;58.0;164.0;477.0;1787.0;4317.0;19:45;20:00;2024-04-08 19:45:00+02:00;1712598300.0;2024-04-08 20:00:00+02:00;1712599200.0
20:00 - 20:15;4462.0;8203.0;;9604.0;4755.0;373.0;;;20.0;7663.0;12.0;1777.0;265.0;;;172.0;58.0;33.0;485.0;1944.0;4901.0;20:00;20:15;2024-04-08 20:00:00+02:00;1712599200.0;2024-04-08 20:15:00+02:00;1712600100.0
20:15 - 20:30;4430.0;8187.0;;9554.0;4817.0;373.0;;;20.0;7392.0;6.0;1784.0;234.0;;;172.0;58.0;2.0;488.0;2003.0;5495.0;20:15;20:30;2024-04-08 20:15:00+02:00;1712600100.0;2024-04-08 20:30:00+02:00;1712601000.0
20:30 - 20:45;4424.0;8209.0;;9459.0;4801.0;373.0;;;20.0;6630.0;24.0;1792.0;150.0;;;171.0;58.0;0.0;490.0;2128.0;6395.0;20:30;20:45;2024-04-08 20:30:00+02:00;1712601000.0;2024-04-08 20:45:00+02:00;1712601900.0
20:45 - 21:00;4419.0;8208.0;;9174.0;4732.0;373.0;;;20.0;4185.0;140.0;1798.0;182.0;;;171.0;58.0;0.0;490.0;2229.0;7248.0;20:45;21:00;2024-04-08 20:45:00+02:00;1712601900.0;2024-04-08 21:00:00+02:00;1712602800.0
21:00 - 21:15;4406.0;8193.0;;8848.0;4673.0;373.0;;;20.0;6430.0;27.0;1804.0;216.0;;;166.0;58.0;0.0;491.0;2305.0;8113.0;21:00;21:15;2024-04-08 21:00:00+02:00;1712602800.0;2024-04-08 21:15:00+02:00;1712603700.0
21:15 - 21:30;4368.0;8050.0;;8323.0;4424.0;373.0;;;20.0;6004.0;150.0;1807.0;79.0;;;152.0;58.0;0.0;491.0;2333.0;8948.0;21:15;21:30;2024-04-08 21:15:00+02:00;1712603700.0;2024-04-08 21:30:00+02:00;1712604600.0
21:30 - 21:45;4359.0;8024.0;;8041.0;4232.0;373.0;;;20.0;5111.0;587.0;1806.0;88.0;;;151.0;58.0;0.0;490.0;2289.0;9705.0;21:30;21:45;2024-04-08 21:30:00+02:00;1712604600.0;2024-04-08 21:45:00+02:00;1712605500.0
21:45 - 22:00;4359.0;8023.0;;7726.0;3834.0;373.0;;;20.0;3224.0;321.0;1806.0;233.0;;;151.0;58.0;0.0;484.0;2272.0;10107.0;21:45;22:00;2024-04-08 21:45:00+02:00;1712605500.0;2024-04-08 22:00:00+02:00;1712606400.0
22:00 - 22:15;4340.0;7943.0;;7402.0;3846.0;373.0;;;20.0;4221.0;228.0;1803.0;215.0;;;151.0;58.0;0.0;483.0;2198.0;10678.0;22:00;22:15;2024-04-08 22:00:00+02:00;1712606400.0;2024-04-08 22:15:00+02:00;1712607300.0
22:15 - 22:30;4317.0;7792.0;;6862.0;3524.0;373.0;;;20.0;2829.0;269.0;1798.0;111.0;;;151.0;58.0;0.0;479.0;2242.0;11211.0;22:15;22:30;2024-04-08 22:15:00+02:00;1712607300.0;2024-04-08 22:30:00+02:00;1712608200.0
22:30 - 22:45;4314.0;7738.0;;6547.0;3342.0;373.0;;;20.0;1922.0;489.0;1793.0;146.0;;;148.0;58.0;0.0;482.0;2256.0;11719.0;22:30;22:45;2024-04-08 22:30:00+02:00;1712608200.0;2024-04-08 22:45:00+02:00;1712609100.0
22:45 - 23:00;4311.0;7556.0;;6100.0;3219.0;373.0;;;20.0;1144.0;289.0;1792.0;53.0;;;147.0;58.0;0.0;487.0;2209.0;12252.0;22:45;23:00;2024-04-08 22:45:00+02:00;1712609100.0;2024-04-08 23:00:00+02:00;1712610000.0
23:00 - 23:15;4302.0;7364.0;;5729.0;2740.0;373.0;;;20.0;1897.0;203.0;1796.0;68.0;;;139.0;58.0;0.0;486.0;2331.0;12520.0;23:00;23:15;2024-04-08 23:00:00+02:00;1712610000.0;2024-04-08 23:15:00+02:00;1712610900.0
23:15 - 23:30;4282.0;7262.0;;5277.0;2594.0;373.0;;;20.0;1283.0;198.0;1802.0;69.0;;;137.0;58.0;0.0;488.0;2319.0;12438.0;23:15;23:30;2024-04-08 23:15:00+02:00;1712610900.0;2024-04-08 23:30:00+02:00;1712611800.0
