MTU;Biomass;Fossil Brown coal/Lignite;Fossil Coal-derived gas;Fossil Gas;Fossil Hard coal;Fossil Oil;Fossil Oil shale;Fossil Peat;Geothermal;Hydro Pumped Storage;Hydro Pumped Storage.1;Hydro Run-of-river and poundage;Hydro Water Reservoir;Marine;Nuclear;Other;Other renewable;Solar;Waste;Wind Offshore;Wind Onshore;start;end;start_datetime;start_unix_timestamp;end_datetime;end_unix_timestamp
00:00 - 00:15;4361.0;6928.0;;4074.0;1382.0;373.0;;;20.0;129.0;1224.0;1739.0;146.0;;;145.0;59.0;0.0;463.0;5018.0;9397.0;00:00;00:15;2024-04-08 00:00:00+02:00;1712527200.0;2024-04-08 00:15:00+02:00;1712528100.0
00:15 - 00:30;4344.0;6894.0;;3907.0;1379.0;373.0;;;20.0;24.0;2106.0;1741.0;73.0;;;145.0;59.0;0.0;461.0;4949.0;9285.0;00:15;00:30;2024-04-08 00:15:00+02:00;1712528100.0;2024-04-08 00:30:00+02:00;1712529000.0
00:30 - 00:45;4350.0;6684.0;;3828.0;1349.0;373.0;;;20.0;0.0;3188.0;1745.0;40.0;;;145.0;59.0;0.0;460.0;4968.0;9220.0;00:30;00:45;2024-04-08 00:30:00+02:00;1712529000.0;2024-04-08 00:45:00+02:00;1712529900.0
00:45 - 01:00;4343.0;6359.0;;3787.0;1305.0;373.0;;;20.0;0.0;3177.0;1744.0;34.0;;;145.0;59.0;0.0;463.0;4890.0;8955.0;00:45;01:00;2024-04-08 00:45:00+02:00;1712529900.0;2024-04-08 01:00:00+02:00;1712530800.0
01:00 - 01:15;4339.0;6195.0;;3981.0;1279.0;373.0;;;20.0;13.0;4038.0;1746.0;47.0;;;145.0;59.0;0.0;465.0;4809.0;8747.0;01:00;01:15;2024-04-08 01:00:00+02:00;1712530800.0;2024-04-08 01:15:00+02:00;1712531700.0
01:15 - 01:30;4346.0;6152.0;;4022.0;1271.0;373.0;;;20.0;60.0;4486.0;1750.0;36.0;;;145.0;55.0;0.0;467.0;4751.0;8628.0;01:15;01:30;2024-04-08 01:15:00+02:00;1712531700.0;2024-04-08 01:30:00+02:00;1712532600.0
01:30 - 01:45;4342.0;6225.0;;4057.0;1261.0;373.0;;;20.0;11.0;4602.0;1752.0;43.0;;;145.0;55.0;0.0;459.0;4619.0;8426.0;01:30;01:45;2024-04-08 01:30:00+02:00;1712532600.0;2024-04-08 01:45:00+02:00;1712533500.0
01:45 - 02:00;4349.0;6273.0;;4124.0;1257.0;373.0;;;20.0;0.0;4661.0;1751.0;37.0;;;145.0;55.0;0.0;468.0;4443.0;8384.0;01:45;02:00;2024-04-08 01:45:00+02:00;1712533500.0;2024-04-08 02:00:00+02:00;1712534400.0
02:00 - 02:15;4350.0;6264.0;;4172.0;1268.0;373.0;;;20.0;113.0;4287.0;1751.0;108.0;;;144.0;55.0;0.0;473.0;4302.0;8011.0;02:00;02:15;2024-04-08 02:00:00+02:00;1712534400.0;2024-04-08 02:15:00+02:00;1712535300.0
02:15 - 02:30;4371.0;6297.0;;4152.0;1276.0;373.0;;;20.0;123.0;4360.0;1746.0;48.0;;;143.0;55.0;0.0;471.0;4221.0;7942.0;02:15;02:30;2024-04-08 02:15:00+02:00;1712535300.0;2024-04-08 02:30:00+02:00;1712536200.0
02:30 - 02:45;4382.0;6376.0;;4142.0;1287.0;373.0;;;20.0;140.0;4200.0;1743.0;47.0;;;143.0;55.0;0.0;465.0;3996.0;7581.0;02:30;02:45;2024-04-08 02:30:00+02:00;1712536200.0;2024-04-08 02:45:00+02:00;1712537100.0
02:45 - 03:00;4377.0;6494.0;;4172.0;1287.0;373.0;;;20.0;176.0;4082.0;1741.0;83.0;;;143.0;55.0;0.0;467.0;3709.0;7198.0;02:45;03:00;2024-04-08 02:45:00+02:00;1712537100.0;2024-04-08 03:00:00+02:00;1712538000.0
03:00 - 03:15;4390.0;6552.0;;4222.0;1290.0;373.0;;;20.0;216.0;3954.0;1742.0;99.0;;;143.0;55.0;0.0;475.0;3531.0;7035.0;03:00;03:15;2024-04-08 03:00:00+02:00;1712538000.0;2024-04-08 03:15:00+02:00;1712538900.0
03:15 - 03:30;4411.0;6660.0;;4159.0;1295.0;373.0;;;20.0;92.0;3664.0;1746.0;94.0;;;143.0;55.0;0.0;473.0;3436.0;6740.0;03:15;03:30;2024-04-08 03:15:00+02:00;1712538900.0;2024-04-08 03:30:00+02:00;1712539800.0
03:30 - 03:45;4424.0;6860.0;;4160.0;1300.0;373.0;;;20.0;222.0;3653.0;1750.0;141.0;;;143.0;55.0;0.0;465.0;3373.0;6409.0;03:30;03:45;2024-04-08 03:30:00+02:00;1712539800.0;2024-04-08 03:45:00+02:00;1712540700.0
