timestamp;datetime;emission_gr_kWh
1712622600;2024-04-09 02:30:00+02:00;248.808
1712623500;2024-04-09 02:45:00+02:00;244.137
1712624400;2024-04-09 03:00:00+02:00;243.71
1712625300;2024-04-09 03:15:00+02:00;235.901
1712626200;2024-04-09 03:30:00+02:00;239.113
1712627100;2024-04-09 03:45:00+02:00;240.507
1712628000;2024-04-09 04:00:00+02:00;249.476
1712628900;2024-04-09 04:15:00+02:00;255.878
1712629800;2024-04-09 04:30:00+02:00;255.366
1712630700;2024-04-09 04:45:00+02:00;257.327
1712631600;2024-04-09 05:00:00+02:00;261.443
1712632500;2024-04-09 05:15:00+02:00;273.015
1712633400;2024-04-09 05:30:00+02:00;282.511
1712634300;2024-04-09 05:45:00+02:00;288.961
1712635200;2024-04-09 06:00:00+02:00;296.462
1712636100;2024-04-09 06:15:00+02:00;287.973
1712637000;2024-04-09 06:30:00+02:00;281.389
1712637900;2024-04-09 06:45:00+02:00;273.09
1712638800;2024-04-09 07:00:00+02:00;265.762
1712639700;2024-04-09 07:15:00+02:00;262.29
1712640600;2024-04-09 07:30:00+02:00;265.997
1712641500;2024-04-09 07:45:00+02:00;263.348
1712642400;2024-04-09 08:00:00+02:00;253.206
1712643300;2024-04-09 08:15:00+02:00;253.093
1712644200;2024-04-09 08:30:00+02:00;252.915
1712645100;2024-04-09 08:45:00+02:00;253.186
1712646000;2024-04-09 09:00:00+02:00;247.175
1712646900;2024-04-09 09:15:00+02:00;251.5
1712647800;2024-04-09 09:30:00+02:00;251.086
1712648700;2024-04-09 09:45:00+02:00;245.541
1712649600;2024-04-09 10:00:00+02:00;242.149
1712650500;2024-04-09 10:15:00+02:00;238.44
1712651400;2024-04-09 10:30:00+02:00;231.831
1712652300;2024-04-09 10:45:00+02:00;226.273
1712653200;2024-04-09 11:00:00+02:00;220.793
1712654100;2024-04-09 11:15:00+02:00;216.966
1712655000;2024-04-09 11:30:00+02:00;220.275
1712655900;2024-04-09 11:45:00+02:00;210.725
1712656800;2024-04-09 12:00:00+02:00;199.085
1712657700;2024-04-09 12:15:00+02:00;192.538
1712658600;2024-04-09 12:30:00+02:00;189.086
1712659500;2024-04-09 12:45:00+02:00;186.97
1712660400;2024-04-09 13:00:00+02:00;190.66
1712661300;2024-04-09 13:15:00+02:00;188.981
1712662200;2024-04-09 13:30:00+02:00;184.182
1712663100;2024-04-09 13:45:00+02:00;178.541
1712664000;2024-04-09 14:00:00+02:00;179.121
1712664900;2024-04-09 14:15:00+02:00;175.875
1712665800;2024-04-09 14:30:00+02:00;175.643
1712666700;2024-04-09 14:45:00+02:00;177.1
1712667600;2024-04-09 15:00:00+02:00;177.229
1712668500;2024-04-09 15:15:00+02:00;175.862
1712669400;2024-04-09 15:30:00+02:00;170.587
1712670300;2024-04-09 15:45:00+02:00;169.83
1712671200;2024-04-09 16:00:00+02:00;165.444
1712672100;2024-04-09 16:15:00+02:00;166.076
1712673000;2024-04-09 16:30:00+02:00;171.254
1712673900;2024-04-09 16:45:00+02:00;177.155
1712674800;2024-04-09 17:00:00+02:00;178.925
1712675700;2024-04-09 17:15:00+02:00;184.268
1712676600;2024-04-09 17:30:00+02:00;194.375
1712677500;2024-04-09 17:45:00+02:00;198.246
1712678400;2024-04-09 18:00:00+02:00;200.102
1712679300;2024-04-09 18:15:00+02:00;204.764
1712680200;2024-04-09 18:30:00+02:00;203.472
1712681100;2024-04-09 18:45:00+02:00;203.672
1712682000;2024-04-09 19:00:00+02:00;206.016
1712682900;2024-04-09 19:15:00+02:00;208.056
1712683800;2024-04-09 19:30:00+02:00;208.376
1712684700;2024-04-09 19:45:00+02:00;207.882
1712685600;2024-04-09 20:00:00+02:00;209.405
1712686500;2024-04-09 20:15:00+02:00;210.788
1712687400;2024-04-09 20:30:00+02:00;211.807
1712688300;2024-04-09 20:45:00+02:00;215.821
1712689200;2024-04-09 21:00:00+02:00;213.093
1712690100;2024-04-09 21:15:00+02:00;214.71
1712691000;2024-04-09 21:30:00+02:00;220.597
1712691900;2024-04-09 21:45:00+02:00;208.901
1712692800;2024-04-09 22:00:00+02:00;216.147
1712693700;2024-04-09 22:15:00+02:00;213.344
1712694600;2024-04-09 22:30:00+02:00;210.531
1712695500;2024-04-09 22:45:00+02:00;204.064
1712696400;2024-04-09 23:00:00+02:00;205.893
1712697300;2024-04-09 23:15:00+02:00;204.017
1712698200;2024-04-09 23:30:00+02:00;203.581
1712699100;2024-04-09 23:45:00+02:00;200.698
1712700000;2024-04-10 00:00:00+02:00;198.299
1712700900;2024-04-10 00:15:00+02:00;197.779
1712701800;2024-04-10 00:30:00+02:00;200.903
1712702700;2024-04-10 00:45:00+02:00;201.193
1712703600;2024-04-10 01:00:00+02:00;199.438
1712704500;2024-04-10 01:15:00+02:00;202.047
1712705400;2024-04-10 01:30:00+02:00;197.299
1712706300;2024-04-10 01:45:00+02:00;198.491
1712707200;2024-04-10 02:00:00+02:00;200.635
1712708100;2024-04-10 02:15:00+02:00;208.725
1712709000;2024-04-10 02:30:00+02:00;210.031
1712709900;2024-04-10 02:45:00+02:00;204.647
1712710800;2024-04-10 03:00:00+02:00;208.786
1712711700;2024-04-10 03:15:00+02:00;213.019
1712712600;2024-04-10 03:30:00+02:00;216.976
1712713500;2024-04-10 03:45:00+02:00;221.316
1712714400;2024-04-10 04:00:00+02:00;224.572
1712715300;2024-04-10 04:15:00+02:00;233.834
1712716200;2024-04-10 04:30:00+02:00;247.666
1712717100;2024-04-10 04:45:00+02:00;256.855
1712718000;2024-04-10 05:00:00+02:00;259.233
1712718900;2024-04-10 05:15:00+02:00;264.875
1712719800;2024-04-10 05:30:00+02:00;268.378
1712720700;2024-04-10 05:45:00+02:00;274.046
1712721600;2024-04-10 06:00:00+02:00;273.229
1712722500;2024-04-10 06:15:00+02:00;277.162
1712723400;2024-04-10 06:30:00+02:00;277.756
1712724300;2024-04-10 06:45:00+02:00;278.227
1712725200;2024-04-10 07:00:00+02:00;275.111
1712726100;2024-04-10 07:15:00+02:00;277.321
1712727000;2024-04-10 07:30:00+02:00;280.073
1712727900;2024-04-10 07:45:00+02:00;280.497
1712728800;2024-04-10 08:00:00+02:00;284.537
1712729700;2024-04-10 08:15:00+02:00;298.735
1712730600;2024-04-10 08:30:00+02:00;298.111
1712731500;2024-04-10 08:45:00+02:00;304.036
1712732400;2024-04-10 09:00:00+02:00;298.726
1712733300;2024-04-10 09:15:00+02:00;298.068
1712734200;2024-04-10 09:30:00+02:00;300.436
1712735100;2024-04-10 09:45:00+02:00;298.647
1712736000;2024-04-10 10:00:00+02:00;290.895
1712736900;2024-04-10 10:15:00+02:00;282.187
1712737800;2024-04-10 10:30:00+02:00;275.053
1712738700;2024-04-10 10:45:00+02:00;265.811
1712739600;2024-04-10 11:00:00+02:00;238.658
1712740500;2024-04-10 11:15:00+02:00;237.249
1712741400;2024-04-10 11:30:00+02:00;232.132
1712742300;2024-04-10 11:45:00+02:00;224.157
1712743200;2024-04-10 12:00:00+02:00;215.912
1712744100;2024-04-10 12:15:00+02:00;214.621
1712745000;2024-04-10 12:30:00+02:00;214.773
1712745900;2024-04-10 12:45:00+02:00;213.551
1712746800;2024-04-10 13:00:00+02:00;213.47
1712747700;2024-04-10 13:15:00+02:00;211.231
1712748600;2024-04-10 13:30:00+02:00;213.328
1712749500;2024-04-10 13:45:00+02:00;215.529
1712750400;2024-04-10 14:00:00+02:00;213.034
1712751300;2024-04-10 14:15:00+02:00;210.657
1712752200;2024-04-10 14:30:00+02:00;212.328
1712753100;2024-04-10 14:45:00+02:00;212.574
1712754000;2024-04-10 15:00:00+02:00;218.366
1712754900;2024-04-10 15:15:00+02:00;219.606
1712755800;2024-04-10 15:30:00+02:00;220.833
1712756700;2024-04-10 15:45:00+02:00;227.538
1712757600;2024-04-10 16:00:00+02:00;229.561
1712758500;2024-04-10 16:15:00+02:00;233.454
1712759400;2024-04-10 16:30:00+02:00;245.072
1712760300;2024-04-10 16:45:00+02:00;262.852
1712761200;2024-04-10 17:00:00+02:00;270.143
1712762100;2024-04-10 17:15:00+02:00;285.656
1712763000;2024-04-10 17:30:00+02:00;299.065
1712763900;2024-04-10 17:45:00+02:00;315.056
1712764800;2024-04-10 18:00:00+02:00;356.294
1712765700;2024-04-10 18:15:00+02:00;370.488
1712766600;2024-04-10 18:30:00+02:00;374.491
1712767500;2024-04-10 18:45:00+02:00;371.485
1712768400;2024-04-10 19:00:00+02:00;403.796
1712769300;2024-04-10 19:15:00+02:00;416.356
1712770200;2024-04-10 19:30:00+02:00;409.509
1712771100;2024-04-10 19:45:00+02:00;415.466
1712772000;2024-04-10 20:00:00+02:00;394.772
1712772900;2024-04-10 20:15:00+02:00;392.92
1712773800;2024-04-10 20:30:00+02:00;385.525
1712774700;2024-04-10 20:45:00+02:00;388.78
1712775600;2024-04-10 21:00:00+02:00;378.476
1712776500;2024-04-10 21:15:00+02:00;380.838
1712777400;2024-04-10 21:30:00+02:00;387.99
1712778300;2024-04-10 21:45:00+02:00;383.937
1712779200;2024-04-10 22:00:00+02:00;358.828
1712780100;2024-04-10 22:15:00+02:00;356.776
1712781000;2024-04-10 22:30:00+02:00;363.739
1712781900;2024-04-10 22:45:00+02:00;356.201
1712782800;2024-04-10 23:00:00+02:00;336.631
1712783700;2024-04-10 23:15:00+02:00;335.196
1712784600;2024-04-10 23:30:00+02:00;324.943
1712785500;2024-04-10 23:45:00+02:00;312.982
1712786400;2024-04-11 00:00:00+02:00;298.348
1712787300;2024-04-11 00:15:00+02:00;293.579
