timestamp_readable;timestamp;smard_price_E_MWh;day_Ahead;awattar_price_E_MWh;stadtWerkeKarlsruhe_E_MWh;tibber_price_E_MWh
2024-04-15 14:15:00;1713190500000;7.99;True;183.82970000000003;357.8;202.29000000000002
2024-04-15 14:30:00;1713191400000;7.99;True;183.82970000000003;357.8;202.29000000000002
2024-04-15 14:45:00;1713192300000;7.99;True;183.82970000000003;357.8;202.29000000000002
2024-04-15 15:00:00;1713193200000;46.3;True;223.28900000000004;357.8;240.60000000000002
2024-04-15 15:15:00;1713194100000;46.3;True;223.28900000000004;357.8;240.60000000000002
2024-04-15 15:30:00;1713195000000;46.3;True;223.28900000000004;357.8;240.60000000000002
2024-04-15 15:45:00;1713195900000;46.3;True;223.28900000000004;357.8;240.60000000000002
2024-04-15 16:00:00;1713196800000;69.2;True;246.876;357.8;263.5
2024-04-15 16:15:00;1713197700000;69.2;True;246.876;357.8;263.5
2024-04-15 16:30:00;1713198600000;69.2;True;246.876;357.8;263.5
2024-04-15 16:45:00;1713199500000;69.2;True;246.876;357.8;263.5
2024-04-15 17:00:00;1713200400000;78.92;True;256.8876;357.8;273.22
2024-04-15 17:15:00;1713201300000;78.92;True;256.8876;357.8;273.22
2024-04-15 17:30:00;1713202200000;78.92;True;256.8876;357.8;273.22
2024-04-15 17:45:00;1713203100000;78.92;True;256.8876;357.8;273.22
2024-04-15 18:00:00;1713204000000;77.02;True;254.9306;357.8;271.32
2024-04-15 18:15:00;1713204900000;77.02;True;254.9306;357.8;271.32
2024-04-15 18:30:00;1713205800000;77.02;True;254.9306;357.8;271.32
2024-04-15 18:45:00;1713206700000;77.02;True;254.9306;357.8;271.32
2024-04-15 19:00:00;1713207600000;66.31;True;243.89930000000004;357.8;260.61
2024-04-15 19:15:00;1713208500000;66.31;True;243.89930000000004;357.8;260.61
2024-04-15 19:30:00;1713209400000;66.31;True;243.89930000000004;357.8;260.61
2024-04-15 19:45:00;1713210300000;66.31;True;243.89930000000004;357.8;260.61
2024-04-15 20:00:00;1713211200000;53.77;True;230.98310000000004;357.8;248.07000000000002
2024-04-15 20:15:00;1713212100000;53.77;True;230.98310000000004;357.8;248.07000000000002
